"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.mitchellbosecke.benchmark.Freemarker.benchmark","thrpt",1,5,"33773,252640","218,954662","ops/s"
"com.mitchellbosecke.benchmark.Handlebars.benchmark","thrpt",1,5,"32803,495850","175,302887","ops/s"
"com.mitchellbosecke.benchmark.Jte.benchmark","thrpt",1,5,"199802,543496","2138,091910","ops/s"
"com.mitchellbosecke.benchmark.Mustache.benchmark","thrpt",1,5,"38729,693293","2532,221995","ops/s"
"com.mitchellbosecke.benchmark.Pebble.benchmark","thrpt",1,5,"49616,574536","782,002080","ops/s"
"com.mitchellbosecke.benchmark.Qute.benchmark","thrpt",1,5,"21467,210166","613,213893","ops/s"
"com.mitchellbosecke.benchmark.Rocker.benchmark","thrpt",1,5,"125628,739199","2291,922459","ops/s"
"com.mitchellbosecke.benchmark.Thymeleaf.benchmark","thrpt",1,5,"7948,243509","53,438979","ops/s"
"com.mitchellbosecke.benchmark.Trimou.benchmark","thrpt",1,5,"44647,125208","462,656227","ops/s"
"com.mitchellbosecke.benchmark.Velocity.benchmark","thrpt",1,5,"33238,448788","212,622639","ops/s"
